Year,American Indian or Alaska Native,Arab,Asian,Atheism/Agnosticism,Bisexual,Black or African American,Buddhist,Catholic,"Eastern Orthodox (Russian, Greek, Other)",Female,Gay (Male),Heterosexual,Hindu,Hispanic or Latino,Islamic (Muslim),Jehovah's Witness,Jewish,Lesbian (Female),"Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Male,Mental Disability,Mormon,"Multiple Races, Group",Native Hawaiian or Other Pacific Islander,Other Race/Ethnicity/Ancestry,Physical Disability,Protestant,Sikh,Transgender,White
1991,5.47017115668261,114.12429378531073,47.08595907746869,0.2224074505606308,0.4386369881956207,68.5968959723968,0.0,0.5843811583928542,0.0,0.0,80.15598766255481,0.0122725336009902,0.0,14.884203014778405,3.7559475429342366,0.0,160.8132801651785,13.269812115475736,5.569122360597289,0.0,0.0,0.0,22.848197554655336,0.0,14.188820772896921,0.0,0.25732232029337465,0.0,0.0,5.9451024977451326
1992,17.453885380334707,90.21739130434783,38.2812510312837,0.05490608067822626,0.6497220597315478,96.08516502619008,0.0,0.45161875970133547,0.0,0.0,139.02506692991452,0.0767534102469293,0.0,20.445462530482782,6.305209995018884,0.0,221.21976724375958,30.274200665083523,9.606603328520983,0.0,0.0,0.0,35.293856000422885,0.0,25.19308899518235,0.0,0.2722524421928885,0.0,0.0,9.225797445383584
1993,20.811162350715385,71.20418848167539,40.33407232771599,0.1626824911179427,0.4277947671716285,114.08928064462451,0.0,0.8177348956497172,0.0,0.0,143.92163607229438,0.11171235988781478,0.0,22.027786566449638,5.4946624848622045,0.0,226.64496193633852,34.36273526480169,9.831639025666696,0.0,0.0,0.0,38.35934075414145,0.0,21.968223835976175,0.0,0.3405910599328229,0.0,0.0,9.88362604105214
1994,13.850914298852867,66.66666666666667,33.970762335451084,0.16069644553925147,2.1128610060725737,86.26613063630501,0.0,0.5140239313387394,0.0,0.0,114.84050139362908,0.06305632203689701,0.0,17.39619176661124,6.151260954219783,0.0,203.9976738175702,26.66968188359367,5.63681051875024,0.0,0.0,0.0,28.77204225370935,0.0,25.360583848866884,0.0,0.3629935929328937,0.0,0.0,6.952787415962926
1995,26.60539909225986,68.29268292682927,57.83704831422495,0.05291943560998567,3.757280513762188,122.60951283370137,0.0,1.2816519361734433,0.0,0.0,184.07164123048273,0.07397627196281538,0.0,24.384374326438024,14.656466719096304,0.0,218.87761963068604,41.59068020359835,12.211159940095538,0.0,0.0,0.0,59.64595466068675,0.0,21.93616892757567,0.0,0.5685368903426951,0.0,0.0,8.296747819351689
1996,31.287636051641343,48.11320754716981,61.509078088917434,0.10457757483453604,2.475002985472351,140.50298911188753,0.0,0.907969371421406,0.0,0.0,182.84443707397102,0.14618937298281506,0.0,24.431442815452915,11.656086119402826,0.0,211.37387247599227,41.31019589423987,6.6294713546840764,0.0,0.0,0.0,52.48911196249883,0.0,33.111619955939474,0.0,0.7000413240443323,0.0,0.0,7.610398626604313
1997,20.681284600758573,44.74885844748858,50.3100287903197,0.15501897974878553,2.03821282162234,120.90850912351073,0.0,0.7792137138591234,0.0,0.0,183.93820287600656,0.053224953742477835,0.0,20.62361614103498,11.169760108458371,0.0,215.96835458893878,50.81699481900539,14.740644260494307,0.0,0.11006347397231808,0.0,50.050930613636545,0.0,31.76850908195947,0.3668782465743936,0.5295236916458166,0.0,0.0,6.8553075352047195
1998,27.817455115903957,29.20353982300885,39.368738464802995,0.1021430688343673,3.626079488900067,112.6208806347951,0.0,1.4702746865187666,0.0,0.0,194.8231781437089,0.06387802273621736,0.0,19.62374615113231,7.934815832924517,0.0,212.42995275995005,59.68218396444791,11.720005317385837,0.0,0.5076510445881153,0.0,62.360102006736085,0.0,22.108013860250825,0.5076510445881153,0.5318014839422374,0.0,0.0,5.3086877539055575
1999,21.449640986633987,27.467811158798284,38.85136396543056,0.2524195805099572,4.978275800063682,109.00536711776326,0.0,0.9458361834338084,0.0,0.0,201.91211896318688,0.059428758221648344,0.0,17.729744707553596,11.594768304132137,0.0,218.42571103561303,47.57031006078821,13.953393999874162,0.0,0.35843579907651885,0.0,57.345397105761506,0.0,28.641585014506557,0.39427937898417076,0.44224099029940217,0.0,0.0,5.214134219783882
2000,27.060254705657126,41.666666666666664,32.998151517749,0.3493676620001628,4.13418460787948,104.41976340945675,0.0,1.4368262069072157,0.0,0.0,197.40153168829596,0.10281733261544802,0.0,22.262619718936975,12.474309664960272,0.0,214.77297645307186,50.52045308220971,14.80712860731552,0.0,0.6378455222482468,0.0,56.839589887709586,0.0,26.433886993049647,0.7087172469424964,0.5114538396287485,0.0,0.0,5.8028647677948495
2001,39.261020350295546,246.34146341463415,33.96928895540506,0.24717468215436858,2.924900831237317,106.91086541025071,0.0,0.8584136384939602,0.0,0.0,213.06622211477546,0.07274239785567051,0.0,22.40447850589014,192.013635305664,0.0,200.99442653695033,52.27746682516707,14.227551446543986,0.0,0.8774701090684817,0.0,45.141522933029286,0.0,97.11513393181171,0.49138326107834973,0.28597766297109173,0.0,0.0,5.197643466985052
2002,28.04596734047103,77.77777777777779,25.338639232408156,0.09793830562519922,3.090498089782446,87.46237055407242,0.0,1.521635145547087,0.0,0.0,176.4856014900815,0.09367411023484265,0.0,16.82308527924483,57.88830732273856,0.0,178.63385217925932,45.336980710222946,16.763190566620057,0.0,1.1821153321088704,0.0,33.458184222965336,0.0,42.2752082535112,0.6953619600640414,0.45325302121466954,0.0,0.0,4.645263689915972
2003,31.00071454733407,12.4031007751938,25.66456977626198,0.6306568402569024,1.9135317117172628,88.5097878859177,0.0,1.7734493003653837,0.0,0.0,164.97557733830914,0.06067675107607006,0.0,15.154043106227585,57.02025890474569,0.0,167.0719106700557,45.3130261775548,19.620531539266373,0.0,0.4133227848766157,0.0,30.877890508069623,0.0,43.619215532371925,1.5155168778809245,0.42496749800465733,0.0,0.0,5.279923415535846
2004,39.120216425074254,0.0,23.136783582604433,0.3364440145864822,3.0333369417404037,96.59951822330801,0.0,1.4934913318312177,0.0,0.0,160.4296316194545,0.11315881295174612,0.0,15.830996307679934,65.90842754504745,0.0,175.00849731340261,41.927419286256885,19.073457735746565,0.0,1.5697516233193973,0.0,32.85984846024984,0.0,36.183761546401435,0.8190008469492509,0.39720514070201673,0.0,0.0,5.3003346550946295
2005,35.87142792690512,0.0,20.307216887898946,0.23811509235841521,5.4475449323837575,91.61881117104822,0.0,1.5233299836757783,0.0,0.0,139.59574269952114,0.08058763183702972,0.0,17.22943825083572,53.40170467248831,0.0,169.90172610281266,38.01597376349126,14.370246007139597,0.0,1.2172443353252524,0.0,34.479927756341844,0.0,30.000197293367112,0.7100591956063971,0.4486646629775097,0.0,0.0,4.975939428933919
2006,26.54805142757601,0.0,18.83465421357568,0.37752483299363176,3.7228148426394085,88.95547758197036,0.0,1.832962118969765,0.0,0.0,158.0395559402464,0.1249918442821606,0.0,18.78002650956116,66.6242056896434,0.0,179.87751288096558,39.03004323014191,18.66725492452057,0.0,2.5799102921634485,0.0,40.437884520955485,0.0,28.112141889647063,0.7706225548020691,0.5147893601275891,0.0,0.0,5.258784637810075
2007,28.26111842481827,0.0,17.684691688756917,0.4208937454207345,4.427179265158339,92.01024862422898,0.0,1.49591540299213,0.0,0.0,155.2345415870398,0.09634110719590791,0.0,18.02897923251027,44.85888720896218,0.0,176.8516097718411,37.90911779709924,22.59046994047441,0.0,1.42776509704702,0.0,36.38879947964017,0.0,28.972001646677377,0.6640767893241953,0.5101571634216665,0.0,0.0,4.632099407441507
2008,22.879356449461792,0.0,12.982302510712032,0.6488847825811886,5.118980650070322,97.01880439267738,0.0,1.9697065486706544,0.0,0.0,173.20992426049128,0.11594235279381734,0.0,17.073033674472217,40.70174823401376,0.0,181.62835398374364,39.668917114849144,28.26538837378173,0.0,2.204817763749433,0.0,33.71243687958618,0.0,24.83970085809727,1.1188627457832943,0.4673039778745509,0.0,0.0,4.504305859892612
2009,31.17835473900599,0.0,10.821350327444224,0.5053314999906514,4.892528366245251,76.02161808598707,0.0,1.3435155296435262,0.0,0.0,140.09405150468655,0.0709784677523274,0.0,14.195140825600829,40.9626216077829,0.0,174.49318255442967,43.09888547794396,22.773551856921056,0.0,2.3484132668519284,0.0,28.7801275608057,0.0,22.474263765006107,0.7828044222839761,0.31890627660399684,0.0,0.0,3.392765253024386
2010,16.028657876141445,0.0,14.10634082064285,0.3187570442460733,5.208895572241185,71.07753413307846,0.0,1.352552507961124,0.0,0.0,147.9560353438185,0.07370688745533535,0.0,14.798645117673397,60.597988331349804,0.0,158.34763029726113,33.91468601465152,24.248304018769574,0.0,0.8082767800930094,0.0,26.861809200569247,0.0,19.730608632230247,0.775945708889289,0.3537445041181317,0.0,0.0,3.578787430225421
2011,24.346175345699457,0.0,11.450704191984348,0.18091597850374433,5.173695220825801,67.25589856513997,0.0,1.8807772413222383,0.0,0.0,150.8014461557752,0.07320879492393643,0.0,10.287484231185307,60.49399765112195,0.0,141.5497948284117,32.568852415082766,27.295698719711307,0.0,1.38084120717891,0.0,20.488957338003782,0.0,21.468632223044636,0.9633775864038907,0.39620768839225173,0.0,0.0,3.164234912881854
2012,36.854839009391476,0.0,10.689136249075199,0.5840301974161336,7.0882309317284635,64.7398638420545,0.0,1.8681527582351662,0.0,0.012570376904964412,145.96976482925774,0.09254940470669384,0.0,10.785780709117503,53.714982838518196,0.0,156.97290152015862,37.52627532492116,23.694939951269305,0.0,3.1578062981202635,0.0,18.01217225029273,0.0,19.723896429923116,0.7336317662299601,0.2970175009914258,0.0,0.0,4.096299914694554
2013,34.34795006400267,0.0,10.038050987387034,0.31238097448137503,5.280726965997047,60.22517617218235,0.0,1.5498125348797036,0.0,0.1560820293975258,149.94516856542228,0.0787991311844193,0.0,8.201410917295153,53.356822393225315,0.0,110.71511970139746,36.541559872886786,19.74614380160342,0.04503303478682921,2.693170250151475,0.0,12.459181021646229,5.182824120863459,20.720742299051498,0.95053067652405,0.36879637476113986,0.0,18.571536816957448,3.9480046456800504
2014,44.816071156575155,4.021465433493867,11.933507451162717,0.5762935784892127,8.917775487133486,50.46643076484135,0.0,1.5395474180300894,0.0,0.19225979910364266,118.14566688886573,0.06523100657529199,0.0,7.323053317097839,55.69851174175535,0.0,96.78991001502838,32.4689242297523,18.041630979177768,0.07668816044083422,2.5179596620344182,0.0,13.971706085030043,6.759325757255714,21.653433786245046,1.0386583605891975,0.293082930702109,0.0,52.393845272857554,3.8918705624482173
2015,38.37946127212943,29.986272950604835,8.159319922420492,0.17615435490117343,6.079772873582066,53.644767845378865,0.6842130831120474,1.2275586679467083,26.17115938236064,0.1540280253992214,131.3678189865404,0.07776215273322092,2.7613985931594636,7.049999719602284,92.2200215021392,0.7894765928084998,108.52188335679242,30.98681592526632,14.070328976016734,0.05078904076110019,1.125626305511551,1.2454967508103514,17.563156011319453,9.922012977992976,17.461834755975165,1.7509742530179682,0.34938537616791254,12.315852349351466,56.447598667836665,4.061060903151676
2016,45.26238842036358,37.61440825281611,8.145073533723863,0.26250428210110177,5.004596462992821,54.01997249591422,1.3594816024753442,1.2995037455096647,17.333381594905617,0.16526285764466164,133.743501634517,0.0740349218799438,5.943919576024789,8.951514358045813,117.62466737044441,2.3529485582699867,130.6330568632677,29.884134171121232,16.4190177710906,0.06307129903829767,1.9259064045520473,1.2373550051937976,22.891160091135294,14.571194044591092,13.425602926479739,1.5531503262516513,0.16631946273607015,22.431446440843178,82.29715390223244,4.9216556412703225
2017,79.08369699660771,72.35234655837066,9.11398329532384,0.34773262247512426,4.972094547978312,60.05485850338066,14.181849124034452,1.6883147347589027,12.66236315151024,0.35878461820044316,127.73345578606846,0.12472218333537341,6.359572018973329,9.940585241775992,159.14201898370496,10.129888547849308,156.81708123153876,31.83632266864219,19.78427861863411,0.20678356881219534,3.9811038909797225,1.843978802234349,51.364194762972275,26.95858051972972,16.985243220689867,2.3145952854533274,0.3735845384739485,48.6235483844826,94.78686702632615,4.389248604685013
2018,49.52904915151155,48.45257124168294,9.5517004892381,0.21593054360859842,3.406904876319984,57.320574281683854,6.709684691787279,1.1445930676615734,17.612925270370983,0.3202184136088572,151.6525579236945,0.08578897741086305,7.221184427696311,11.57994271351992,71.76445156643419,12.387112757564848,139.63265781161692,31.98630133334897,20.258912182926807,0.22412650337365797,3.6181322637071407,1.5267336404001812,19.846192011907714,31.078195848574598,15.734058086072446,2.17701178578989,0.27838048342098604,112.72277845545638,117.17986174214103,5.844085015630801
2019,35.38691490314062,75.43532058051888,13.064043971196726,0.3003646512684871,5.246846349151221,63.09098634197234,5.333333333333334,1.588235294117647,26.5,0.48024972985952696,156.39027144656242,0.07261097577407405,4.4843049327354265,12.532048119375975,77.97101449275362,6.153846153846154,178.90961262553802,29.662483314853134,22.08752939722316,0.15464555239391317,3.8081946987979998,2.730501752451194,23.17558377173813,50.26817308702944,23.079905938533773,1.98026124337496,0.24113475177304966,168.0,142.14285714285714,4.507493141349776
